timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1664121666539,431,GET All Activities,200,OK,Endurance Test 1-1,text,true,,3109,206,1,1,https://automate-app-test-azure-project-appservice.azurewebsites.net/api/Activities/,431,0,324
1664121666971,95,GET Activities,200,OK,Endurance Test 1-1,text,true,,352,207,2,2,https://automate-app-test-azure-project-appservice.azurewebsites.net/api/Activities/1,95,0,0
1664121667067,96,DEL Activities,200,OK,Endurance Test 1-1,,true,,211,302,2,2,https://automate-app-test-azure-project-appservice.azurewebsites.net/api/Activities/1?id=1,96,0,0
1664121667163,237,POST Acitivities,200,OK,Endurance Test 1-1,text,true,,262,289,2,2,http://automate-app-test-azure-project-appservice.azurewebsites.net/api/Activities,237,0,98
1664121667039,457,GET All Activities,200,OK,Endurance Test 1-2,text,true,,3109,206,1,1,https://automate-app-test-azure-project-appservice.azurewebsites.net/api/Activities/,457,0,342
1664121667497,101,GET Activities,200,OK,Endurance Test 1-2,text,true,,351,207,1,1,https://automate-app-test-azure-project-appservice.azurewebsites.net/api/Activities/2,101,0,0
1664121667599,101,DEL Activities,200,OK,Endurance Test 1-2,,true,,211,302,1,1,https://automate-app-test-azure-project-appservice.azurewebsites.net/api/Activities/2?id=2,101,0,0
1664121667701,250,POST Acitivities,200,OK,Endurance Test 1-2,text,true,,262,289,1,1,http://automate-app-test-azure-project-appservice.azurewebsites.net/api/Activities,250,0,98
